Gene name (systematic),L (in codon),alpha_phys,rho_phys (E)
YAL001C,1161,0.02760,0.00468
YAL002W,1275,0.01219,0.00226
YAL003W,207,0.35975,0.02501
YAL007C,216,0.08639,0.01118
YAL008W,199,0.15050,0.02323
YAL009W,260,0.04768,0.00842
YAL010C,494,0.07369,0.01171
YAL011W,626,0.04132,0.00690
YAL012W,395,0.17811,0.02119
YAL013W,421,0.09351,0.01536
YAL014C,256,0.04573,0.00980
YAL015C,400,0.05698,0.01055
YAL016W,636,0.10234,0.01438
YAL017W,1357,0.03363,0.00581
YAL018C,326,0.14403,0.02025
YAL019W-A,190,0.04316,0.00787
YAL020C,334,0.08617,0.01567
YAL021C,838,0.07471,0.01268
YAL022C,518,0.09678,0.01700
YAL023C,760,0.14237,0.01665
YAL024C,1436,0.03039,0.00515
YAL025C,307,0.12317,0.01692
YAL027W,262,0.11159,0.01784
YAL028W,529,0.04398,0.00851
YAL029C,1472,0.01384,0.00224
YAL030W,118,0.13112,0.01909
YAL031C,761,0.05094,0.00873
YAL032C,380,0.09428,0.01508
YAL033W,174,0.10309,0.01965
YAL034C-B,118,0.03212,0.00588
YAL035W,1003,0.10053,0.01166
YAL036C,370,0.13427,0.01788
YAL037W,268,0.08030,0.01588
YAL038W,501,0.20519,0.01599
YAL039C,270,0.10381,0.01757
YAL040C,581,0.02970,0.00478
YAL041W,855,0.05337,0.00959
YAL042W,416,0.13636,0.01984
YAL043C,786,0.06012,0.01108
YAL044C,171,0.15690,0.02433
YAL045C,103,0.10860,0.02279
YAL046C,119,0.10535,0.01755
YAL047C,623,0.08163,0.01331
YAL048C,663,0.05330,0.00866
YAL049C,247,0.15317,0.02023
YAL051W,1048,0.06754,0.01030
YAL053W,784,0.10329,0.01514
YAL054C,714,0.12707,0.01453
YAL055W,181,0.22202,0.03332
YAL056W,881,0.03795,0.00660
YAL058W,503,0.05722,0.00981
YAL059W,213,0.10411,0.01405
YAL060W,383,0.10207,0.01508
YAL061W,418,0.05476,0.00890
YAL062W,458,0.13655,0.01751
YAL063C,1323,0.01641,0.00236
YAL064W,109,0.31783,0.05840
YAL066W,103,0.26238,0.04232
YAL067C,594,0.10906,0.01560
YAL068C,121,0.18810,0.01668
YAL069W,105,0.32107,0.04443
YAR002W,540,0.10757,0.01502
YAR003W,427,0.03961,0.00746
YAR007C,622,0.14635,0.01591
YAR008W,276,0.06478,0.01121
YAR014C,708,0.04287,0.00740
YAR015W,307,0.12809,0.01635
YAR018C,436,0.11828,0.01804
YAR019C,975,0.04247,0.00722
YAR020C,56,4.04692,0.07646
YAR023C,180,0.20542,0.02839
YAR027W,236,0.13227,0.02360
YAR028W,235,0.08668,0.01496
YAR029W,75,0.45364,0.05653
